Date	Action	Qty	Name	Price	Commission	Fees	Net
03/25/2021	Buy To Open	4	EW4H213890C - E Mini S&P 500 June 2021 03/26/2021 3890 Call	8.00	$6.00	$2.28	($1,608.28)
03/24/2021	Sell To Close	2	E4CH213890P - E Mini S&P 500 June 2021 03/24/2021 3890 Put	2.35	$3.00	$1.14	$230.86
03/24/2021	Buy To Open	2	E4CH213890P - E Mini S&P 500 June 2021 03/24/2021 3890 Put	1.10	$3.00	$1.14	($114.14)
03/24/2021	Sell To Close	1	E4CH213905C - E Mini S&P 500 June 2021 03/24/2021 3905 Call	5.75	$1.50	$0.57	$285.43
03/24/2021	Buy To Open	1	E4CH213905C - E Mini S&P 500 June 2021 03/24/2021 3905 Call	7.25	$1.50	$0.57	($364.57)
03/24/2021	Sell To Close	2	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	1.20	$3.00	$1.14	$115.86
03/24/2021	Buy To Open	2	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	2.00	$3.00	$1.14	($204.14)
03/24/2021	Sell To Close	2	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	3.25	$3.00	$1.14	$320.86
03/24/2021	Buy To Open	2	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	2.95	$3.00	$1.14	($299.14)
03/24/2021	Sell To Close	8	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	3.00	$12.00	$4.56	$1,183.44
03/24/2021	Buy To Open	4	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	1.45	$6.00	$2.28	($298.28)
03/24/2021	Buy To Open	4	E4CH213920C - E Mini S&P 500 June 2021 03/24/2021 3920 Call	2.25	$6.00	$2.28	($458.28)
03/24/2021	Sell To Close	10	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	2.60	$15.00	$5.70	$1,279.30
03/24/2021	Buy To Open	10	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	2.00	$15.00	$5.70	($1,020.70)
03/24/2021	Sell To Close	5	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	3.05	$7.50	$2.85	$752.15
03/24/2021	Sell To Close	5	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	3.10	$7.50	$2.85	$764.65
03/24/2021	Buy To Open	10	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	2.05	$15.00	$5.70	($1,045.70)
03/24/2021	Sell To Close	6	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	1.45	$9.00	$3.42	$422.58
03/24/2021	Sell To Close	1	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	1.65	$1.50	$0.57	$80.43
03/24/2021	Sell To Close	1	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	1.65	$1.50	$0.57	$80.43
03/24/2021	Buy To Open	8	E4CH213905P - E Mini S&P 500 June 2021 03/24/2021 3905 Put	2.45	$12.00	$4.56	($996.56)
03/24/2021	Sell To Close	4	E4CH213930C - E Mini S&P 500 June 2021 03/24/2021 3930 Call	3.05	$6.00	$2.28	$601.72
03/24/2021	Buy To Open	4	E4CH213930C - E Mini S&P 500 June 2021 03/24/2021 3930 Call	2.90	$6.00	$2.28	($588.28)
03/24/2021	Sell To Close	4	E4CH213930C - E Mini S&P 500 June 2021 03/24/2021 3930 Call	2.10	$6.00	$2.28	$411.72
03/24/2021	Buy To Open	2	E4CH213930C - E Mini S&P 500 June 2021 03/24/2021 3930 Call	2.35	$3.00	$1.14	($239.14)
03/24/2021	Buy To Open	2	E4CH213930C - E Mini S&P 500 June 2021 03/24/2021 3930 Call	4.30	$3.00	$1.14	($434.14)
03/24/2021	Sell To Close	3	E4CH213925C - E Mini S&P 500 June 2021 03/24/2021 3925 Call	4.80	$4.50	$1.71	$713.79
03/24/2021	Sell To Close	1	E4CH213925C - E Mini S&P 500 June 2021 03/24/2021 3925 Call	4.80	$1.50	$0.57	$237.93
03/24/2021	Buy To Open	2	E4CH213925C - E Mini S&P 500 June 2021 03/24/2021 3925 Call	4.65	$3.00	$1.14	($469.14)
03/24/2021	Buy To Open	2	E4CH213925C - E Mini S&P 500 June 2021 03/24/2021 3925 Call	4.15	$3.00	$1.14	($419.14)
