date_date,Ticker,Share_Volume,Call_Delta,Put_Delta,Call_Volume,Put_Volume,Total_Option_Delta,NOPE,NOPE_MAD,uniqueKey,ticker,date,open,high,low,close,adjustedClose,volume,nextDay_date,nextDay_open,nextDay_high,nextDay_low,nextDay_close,nextDay_adjClose,nextDay_volume,isDayBeforeExDiv,Min2Day_date,Min3Day_date,Min5Day_date,Min14Day_date,Min30Day_date,Min2Day_closeLow,Min3Day_closeLow,Min5Day_closeLow,Min14Day_closeLow,Min30Day_closeLow,Min2Day_%diff,Min3Day_%diff,Min5Day_%diff,Min14Day_%diff,Min30Day_%diff
1/22/07,SPY,60253600,2198553,-3570969,52010,100640,-1372416,-2.2777,0.2035,SPY2007-01-22,SPY,1/22/07 0:00,143.070007,143.100006,141.929993,142.380005,107.696121,60253600,1/23/07 0:00,142.259995,143.080002,142.059998,142.800003,108.013794,54064400,FALSE,1/23/07 0:00,1/25/07 0:00,1/29/07 0:00,1/29/07 0:00,3/5/07 0:00,142.800003,142.259995,142.050003,142.050003,137.350006,0.295%,-0.084%,-0.232%,-0.232%,-3.533%
1/23/07,SPY,54064400,2550566,-3298761,53688,91790,-748195,-1.3839,0.5475,SPY2007-01-23,SPY,1/23/07 0:00,142.259995,143.080002,142.059998,142.800003,108.013794,54064400,1/24/07 0:00,142.970001,143.979996,142.910004,143.949997,108.883636,55834700,FALSE,1/25/07 0:00,1/26/07 0:00,1/29/07 0:00,1/29/07 0:00,3/5/07 0:00,142.259995,142.130005,142.050003,142.050003,137.350006,-0.378%,-0.469%,-0.525%,-0.525%,-3.817%
1/24/07,SPY,55834700,3942861,-4299396,76073,118151,-356535,-0.6386,1.0921,SPY2007-01-24,SPY,1/24/07 0:00,142.970001,143.979996,142.910004,143.949997,108.883636,55834700,1/25/07 0:00,143.860001,143.919998,142.009995,142.259995,107.605316,73583800,FALSE,1/26/07 0:00,1/29/07 0:00,1/29/07 0:00,1/29/07 0:00,3/5/07 0:00,142.130005,142.050003,142.050003,142.050003,137.350006,-1.264%,-1.320%,-1.320%,-1.320%,-4.585%
1/25/07,SPY,73583800,2518479,-7890074,72085,214197,-5371595,-7.3,-3.9774,SPY2007-01-25,SPY,1/25/07 0:00,143.860001,143.919998,142.009995,142.259995,107.605316,73583800,1/26/07 0:00,142.570007,142.649994,141.580002,142.130005,107.507004,67255600,FALSE,1/29/07 0:00,1/29/07 0:00,1/29/07 0:00,1/29/07 0:00,3/5/07 0:00,142.050003,142.050003,142.050003,142.050003,137.350006,-0.148%,-0.148%,-0.148%,-0.148%,-3.451%
1/26/07,SPY,67255600,3682406,-7246843,81218,216322,-3564436,-5.2998,-2.1407,SPY2007-01-26,SPY,1/26/07 0:00,142.570007,142.649994,141.580002,142.130005,107.507004,67255600,1/29/07 0:00,142.190002,142.800003,141.740005,142.050003,107.446503,66114600,FALSE,1/29/07 0:00,1/29/07 0:00,1/29/07 0:00,1/29/07 0:00,3/5/07 0:00,142.050003,142.050003,142.050003,142.050003,137.350006,-0.056%,-0.056%,-0.056%,-0.056%,-3.363%
1/29/07,SPY,66114600,2824287,-4395352,55112,119235,-1571064,-2.3763,-0.0602,SPY2007-01-29,SPY,1/29/07 0:00,142.190002,142.800003,141.740005,142.050003,107.446503,66114600,1/30/07 0:00,142.350006,142.860001,142.059998,142.789993,108.006218,70407600,FALSE,1/30/07 0:00,1/30/07 0:00,1/30/07 0:00,1/30/07 0:00,3/5/07 0:00,142.789993,142.789993,142.789993,142.789993,137.350006,0.521%,0.521%,0.521%,0.521%,-3.309%
1/30/07,SPY,70407600,1396297,-2759232,33937,74886,-1362935,-1.9358,0.2322,SPY2007-01-30,SPY,1/30/07 0:00,142.350006,142.860001,142.059998,142.789993,108.006218,70407600,1/31/07 0:00,142.630005,144.130005,142.399994,143.75,108.732376,91868600,FALSE,1/31/07 0:00,1/31/07 0:00,1/31/07 0:00,2/12/07 0:00,3/5/07 0:00,143.75,143.75,143.75,143.449997,137.350006,0.672%,0.672%,0.672%,0.462%,-3.810%
1/31/07,SPY,91868600,4645138,-3967052,81667,124248,678086,0.7381,1.8475,SPY2007-01-31,SPY,1/31/07 0:00,142.630005,144.130005,142.399994,143.75,108.732376,91868600,2/1/07 0:00,144.149994,144.660004,143.910004,144.610001,109.382866,69312400,FALSE,2/1/07 0:00,2/1/07 0:00,2/1/07 0:00,2/12/07 0:00,3/5/07 0:00,144.610001,144.610001,144.610001,143.449997,137.350006,0.598%,0.598%,0.598%,-0.209%,-4.452%
2/1/07,SPY,69312400,3036237,-2804545,56164,89437,231691,0.3343,1.6583,SPY2007-02-01,SPY,2/1/07 0:00,144.149994,144.660004,143.910004,144.610001,109.382866,69312400,2/2/07 0:00,144.729996,144.949997,144.380005,144.809998,109.534134,49607000,FALSE,2/2/07 0:00,2/2/07 0:00,2/2/07 0:00,2/12/07 0:00,3/5/07 0:00,144.809998,144.809998,144.809998,143.449997,137.350006,0.138%,0.138%,0.138%,-0.802%,-5.020%
2/2/07,SPY,49607000,2149915,-2875235,50819,107829,-725319,-1.4621,0.373,SPY2007-02-02,SPY,2/2/07 0:00,144.729996,144.949997,144.380005,144.809998,109.534134,49607000,2/5/07 0:00,144.699997,144.940002,144.339996,144.850006,109.564392,45705300,FALSE,2/5/07 0:00,2/5/07 0:00,2/9/07 0:00,2/12/07 0:00,3/5/07 0:00,144.850006,144.850006,143.940002,143.449997,137.350006,0.028%,0.028%,-0.601%,-0.939%,-5.152%
2/5/07,SPY,45705300,2647833,-1741955,50476,52798,905877,1.982,2.9134,SPY2007-02-05,SPY,2/5/07 0:00,144.699997,144.940002,144.339996,144.850006,109.564392,45705300,2/6/07 0:00,144.970001,145.029999,144.330002,144.889999,109.594658,57081300,FALSE,2/6/07 0:00,2/6/07 0:00,2/12/07 0:00,2/12/07 0:00,3/5/07 0:00,144.889999,144.889999,143.449997,143.449997,137.350006,0.028%,0.028%,-0.967%,-0.967%,-5.178%
2/6/07,SPY,57081300,2413816,-3333820,52614,103454,-920004,-1.6117,0.2501,SPY2007-02-06,SPY,2/6/07 0:00,144.970001,145.029999,144.330002,144.889999,109.594658,57081300,2/7/07 0:00,145.119995,145.360001,144.570007,145.210007,109.836716,55669700,FALSE,2/8/07 0:00,2/9/07 0:00,2/12/07 0:00,2/27/07 0:00,3/5/07 0:00,145.020004,143.940002,143.449997,139.5,137.350006,0.090%,-0.656%,-0.994%,-3.720%,-5.204%
2/7/07,SPY,55669700,2279599,-3512277,60247,114017,-1232677,-2.2143,-0.1998,SPY2007-02-07,SPY,2/7/07 0:00,145.119995,145.360001,144.570007,145.210007,109.836716,55669700,2/8/07 0:00,144.779999,145.119995,144.270004,145.020004,109.692993,70641000,FALSE,2/9/07 0:00,2/12/07 0:00,2/12/07 0:00,2/27/07 0:00,3/5/07 0:00,143.940002,143.449997,143.449997,139.5,137.350006,-0.875%,-1.212%,-1.212%,-3.932%,-5.413%
2/8/07,SPY,70641000,2352955,-3028401,47142,91700,-675446,-0.9562,0.7388,SPY2007-02-08,SPY,2/8/07 0:00,144.779999,145.119995,144.270004,145.020004,109.692993,70641000,2/9/07 0:00,145.059998,145.330002,143.389999,143.940002,108.876068,79084400,FALSE,2/12/07 0:00,2/12/07 0:00,2/12/07 0:00,2/27/07 0:00,3/5/07 0:00,143.449997,143.449997,143.449997,139.5,137.350006,-1.083%,-1.083%,-1.083%,-3.806%,-5.289%
2/9/07,SPY,79084400,2460521,-7321305,69334,164620,-4860784,-6.1463,-3.1781,SPY2007-02-09,SPY,2/9/07 0:00,145.059998,145.330002,143.389999,143.940002,108.876068,79084400,2/12/07 0:00,143.940002,144.039993,143.190002,143.449997,108.505447,65657000,FALSE,2/12/07 0:00,2/12/07 0:00,2/12/07 0:00,3/2/07 0:00,3/5/07 0:00,143.449997,143.449997,143.449997,138.669998,137.350006,-0.340%,-0.340%,-0.340%,-3.661%,-4.578%
2/12/07,SPY,65657000,2870061,-8803253,74134,236362,-5933191,-9.0366,-5.2577,SPY2007-02-12,SPY,2/12/07 0:00,143.940002,144.039993,143.190002,143.449997,108.505447,65657000,2/13/07 0:00,143.770004,144.899994,143.759995,144.660004,109.420647,64081800,FALSE,2/13/07 0:00,2/13/07 0:00,2/13/07 0:00,3/5/07 0:00,3/5/07 0:00,144.660004,144.660004,144.660004,137.350006,137.350006,0.844%,0.844%,0.844%,-4.252%,-4.252%
2/13/07,SPY,64081800,3710939,-5391923,67562,155198,-1680984,-2.6232,-0.4884,SPY2007-02-13,SPY,2/13/07 0:00,143.770004,144.899994,143.759995,144.660004,109.420647,64081800,2/14/07 0:00,144.800003,145.899994,144.779999,145.610001,110.139244,66039400,FALSE,2/14/07 0:00,2/14/07 0:00,2/14/07 0:00,3/5/07 0:00,3/5/07 0:00,145.610001,145.610001,145.610001,137.350006,137.350006,0.657%,0.657%,0.657%,-5.053%,-5.053%
2/14/07,SPY,66039400,5830746,-7342285,112596,227409,-1511538,-2.2888,-0.2363,SPY2007-02-14,SPY,2/14/07 0:00,144.800003,145.899994,144.779999,145.610001,110.139244,66039400,2/15/07 0:00,145.669998,145.949997,145.429993,145.800003,110.282944,38715200,FALSE,2/16/07 0:00,2/16/07 0:00,2/16/07 0:00,3/5/07 0:00,3/5/07 0:00,145.729996,145.729996,145.729996,137.350006,137.350006,0.082%,0.082%,0.082%,-5.673%,-5.673%
2/15/07,SPY,38715200,3162945,-3879596,56384,129213,-716650,-1.8511,0.1779,SPY2007-02-15,SPY,2/15/07 0:00,145.669998,145.949997,145.429993,145.800003,110.282944,38715200,2/16/07 0:00,145.440002,145.759995,145.229996,145.729996,110.230026,39841800,FALSE,2/16/07 0:00,2/16/07 0:00,2/23/07 0:00,3/5/07 0:00,3/5/07 0:00,145.729996,145.729996,145.300003,137.350006,137.350006,-0.048%,-0.048%,-0.343%,-5.796%,-5.796%
2/16/07,SPY,39841800,3170516,-4492181,56529,89638,-1321665,-3.3173,-0.9821,SPY2007-02-16,SPY,2/16/07 0:00,145.440002,145.759995,145.229996,145.729996,110.230026,39841800,2/20/07 0:00,145.559998,146.199997,145,146.039993,110.4645,56911800,FALSE,2/21/07 0:00,2/22/07 0:00,2/26/07 0:00,3/5/07 0:00,3/5/07 0:00,145.979996,145.869995,145.169998,137.350006,137.350006,0.172%,0.096%,-0.384%,-5.750%,-5.750%
2/20/07,SPY,56911800,2172124,-3351315,50709,139880,-1179190,-2.072,0.0174,SPY2007-02-20,SPY,2/20/07 0:00,145.559998,146.199997,145,146.039993,110.4645,56911800,2/21/07 0:00,145.610001,146.070007,145.350006,145.979996,110.419128,63971600,FALSE,2/22/07 0:00,2/23/07 0:00,2/27/07 0:00,3/5/07 0:00,3/5/07 0:00,145.869995,145.300003,139.5,137.350006,137.350006,-0.116%,-0.507%,-4.478%,-5.950%,-5.950%
2/21/07,SPY,63971600,1182641,-2757172,23113,89378,-1574531,-2.4613,-0.3729,SPY2007-02-21,SPY,2/21/07 0:00,145.610001,146.070007,145.350006,145.979996,110.419128,63971600,2/22/07 0:00,146.050003,146.419998,145.169998,145.869995,110.335953,79067400,FALSE,2/23/07 0:00,2/26/07 0:00,2/27/07 0:00,3/5/07 0:00,3/5/07 0:00,145.300003,145.169998,139.5,137.350006,137.350006,-0.466%,-0.555%,-4.439%,-5.912%,-5.912%
2/22/07,SPY,79067400,2084775,-3968367,49935,121449,-1883591,-2.3823,-0.2481,SPY2007-02-22,SPY,2/22/07 0:00,146.050003,146.419998,145.169998,145.869995,110.335953,79067400,2/23/07 0:00,145.740005,145.789993,145.029999,145.300003,109.904755,71966200,FALSE,2/26/07 0:00,2/27/07 0:00,2/27/07 0:00,3/5/07 0:00,3/5/07 0:00,145.169998,139.5,139.5,137.350006,137.350006,-0.480%,-4.367%,-4.367%,-5.841%,-5.841%
2/23/07,SPY,71966200,1312188,-4195989,31154,120871,-2883801,-4.0072,-2.14,SPY2007-02-23,SPY,2/23/07 0:00,145.740005,145.789993,145.029999,145.300003,109.904755,71966200,2/26/07 0:00,145.830002,145.949997,144.75,145.169998,109.80645,69192800,FALSE,2/27/07 0:00,2/27/07 0:00,3/2/07 0:00,3/5/07 0:00,3/5/07 0:00,139.5,139.5,138.669998,137.350006,137.350006,-3.992%,-3.992%,-4.563%,-5.471%,-5.471%
2/26/07,SPY,69192800,2078710,-4588011,49854,143472,-2509301,-3.6265,-1.3935,SPY2007-02-26,SPY,2/26/07 0:00,145.830002,145.949997,144.75,145.169998,109.80645,69192800,2/27/07 0:00,143.880005,144.199997,139,139.5,105.517647,274466500,FALSE,2/27/07 0:00,2/27/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,139.5,139.5,137.350006,137.350006,137.350006,-3.906%,-3.906%,-5.387%,-5.387%,-5.387%
2/27/07,SPY,274466500,10701548,-42477539,319794,870255,-31775990,-11.5774,-9.6417,SPY2007-02-27,SPY,2/27/07 0:00,143.880005,144.199997,139,139.5,105.517647,274466500,2/28/07 0:00,140.389999,141.979996,139.800003,140.929993,106.599297,177536300,FALSE,3/1/07 0:00,3/2/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,140.509995,138.669998,137.350006,137.350006,137.350006,0.724%,-0.595%,-1.541%,-1.541%,-1.541%
2/28/07,SPY,177536300,8706771,-19714729,210336,525210,-11007957,-6.2004,-4.0521,SPY2007-02-28,SPY,2/28/07 0:00,140.389999,141.979996,139.800003,140.929993,106.599297,177536300,3/1/07 0:00,139.339996,141.25,138.050003,140.509995,106.281624,212828600,FALSE,3/2/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,138.669998,137.350006,137.350006,137.350006,137.350006,-1.604%,-2.540%,-2.540%,-2.540%,-2.540%
3/1/07,SPY,212828600,10064660,-16841404,264588,478475,-6776744,-3.1841,-0.9319,SPY2007-03-01,SPY,3/1/07 0:00,139.339996,141.25,138.050003,140.509995,106.281624,212828600,3/2/07 0:00,140.050003,140.660004,138.660004,138.669998,104.889832,162574000,FALSE,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,137.350006,137.350006,137.350006,137.350006,137.350006,-2.249%,-2.249%,-2.249%,-2.249%,-2.249%
3/2/07,SPY,162574000,4173283,-12386755,124132,336289,-8213471,-5.0521,-2.8132,SPY2007-03-02,SPY,3/2/07 0:00,140.050003,140.660004,138.660004,138.669998,104.889832,162574000,3/5/07 0:00,137.929993,139.580002,137.330002,137.350006,103.891426,143750400,FALSE,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,3/5/07 0:00,137.350006,137.350006,137.350006,137.350006,137.350006,-0.952%,-0.952%,-0.952%,-0.952%,-0.952%
3/5/07,SPY,143750400,5995813,-19261056,211876,407017,-13265242,-9.228,-7.133,SPY2007-03-05,SPY,3/5/07 0:00,137.929993,139.580002,137.330002,137.350006,103.891426,143750400,3/6/07 0:00,138.779999,140.119995,137.720001,139.699997,105.668892,143333300,FALSE,3/7/07 0:00,3/7/07 0:00,3/7/07 0:00,3/13/07 0:00,3/13/07 0:00,139.559998,139.559998,139.559998,138.25,138.25,1.609%,1.609%,1.609%,0.655%,0.655%
3/6/07,SPY,143333300,6682523,-9761072,210766,277685,-3078549,-2.1478,0.2065,SPY2007-03-06,SPY,3/6/07 0:00,138.779999,140.119995,137.720001,139.699997,105.668892,143333300,3/7/07 0:00,139.589996,140.460007,139.399994,139.559998,105.563042,115144900,FALSE,3/7/07 0:00,3/7/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,139.559998,139.559998,138.25,138.25,138.25,-0.100%,-0.100%,-1.038%,-1.038%,-1.038%
3/7/07,SPY,115144900,5355892,-10381792,141486,352557,-5025899,-4.3648,-1.7707,SPY2007-03-07,SPY,3/7/07 0:00,139.589996,140.460007,139.399994,139.559998,105.563042,115144900,3/8/07 0:00,140.539993,141.160004,140.070007,140.740005,106.45562,117891600,FALSE,3/8/07 0:00,3/8/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,140.740005,140.740005,138.25,138.25,138.25,0.846%,0.846%,-0.939%,-0.939%,-0.939%
3/8/07,SPY,117891600,6164021,-10949507,145681,283119,-4785485,-4.0592,-1.2264,SPY2007-03-08,SPY,3/8/07 0:00,140.539993,141.160004,140.070007,140.740005,106.45562,117891600,3/9/07 0:00,141.309998,141.419998,140.080002,140.779999,106.485855,107765100,FALSE,3/9/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,140.779999,138.25,138.25,138.25,138.25,0.028%,-1.769%,-1.769%,-1.769%,-1.769%
3/9/07,SPY,107765100,4505832,-7706287,121300,211792,-3200455,-2.9698,-0.3354,SPY2007-03-09,SPY,3/9/07 0:00,141.309998,141.419998,140.080002,140.779999,106.485855,107765100,3/12/07 0:00,140.419998,141.339996,140.160004,140.990005,106.644653,80366900,FALSE,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,138.25,138.25,138.25,138.25,138.25,-1.797%,-1.797%,-1.797%,-1.797%,-1.797%
3/12/07,SPY,80366900,4181743,-4615107,95326,132843,-433363,-0.5392,1.8509,SPY2007-03-12,SPY,3/12/07 0:00,140.419998,141.339996,140.160004,140.990005,106.644653,80366900,3/13/07 0:00,140.179993,140.770004,138.039993,138.25,104.572166,190605200,FALSE,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,3/13/07 0:00,138.25,138.25,138.25,138.25,138.25,-1.943%,-1.943%,-1.943%,-1.943%,-1.943%
3/13/07,SPY,190605200,5870081,-25138356,200136,528079,-19268275,-10.109,-7.1033,SPY2007-03-13,SPY,3/13/07 0:00,140.179993,140.770004,138.039993,138.25,104.572166,190605200,3/14/07 0:00,138.429993,139.360001,136.75,139.279999,105.351273,231853800,FALSE,3/14/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,139.279999,138.529999,138.529999,138.529999,138.529999,0.745%,0.203%,0.203%,0.203%,0.203%
3/14/07,SPY,231853800,14602105,-19276716,300967,726619,-4674610,-2.0162,0.4127,SPY2007-03-14,SPY,3/14/07 0:00,138.429993,139.360001,136.75,139.279999,105.351273,231853800,3/15/07 0:00,138.970001,139.990005,138.800003,139.470001,105.494919,132435900,FALSE,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,138.529999,138.529999,138.529999,138.529999,138.529999,-0.538%,-0.538%,-0.538%,-0.538%,-0.538%
3/15/07,SPY,132435900,87383315,-10586158,1076798,272231,76797157,57.9882,47.4898,SPY2007-03-15,SPY,3/15/07 0:00,138.970001,139.990005,138.800003,139.470001,105.494919,132435900,3/16/07 0:00,139.309998,139.630005,138.119995,138.529999,105.199585,121531600,TRUE,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,3/16/07 0:00,138.529999,138.529999,138.529999,138.529999,138.529999,-0.674%,-0.674%,-0.674%,-0.674%,-0.674%
3/16/07,SPY,121531600,5492778,-13446736,130750,348242,-7953958,-6.5448,-3.1402,SPY2007-03-16,SPY,3/16/07 0:00,139.309998,139.630005,138.119995,138.529999,105.199585,121531600,3/19/07 0:00,139.259995,140.330002,139.149994,140.199997,106.467781,96161200,FALSE,3/19/07 0:00,3/19/07 0:00,3/19/07 0:00,3/19/07 0:00,3/19/07 0:00,140.199997,140.199997,140.199997,140.199997,140.199997,1.206%,1.206%,1.206%,1.206%,1.206%
3/19/07,SPY,96161200,5490549,-7798170,118086,266057,-2307621,-2.3997,0.3209,SPY2007-03-19,SPY,3/19/07 0:00,139.259995,140.330002,139.149994,140.199997,106.467781,96161200,3/20/07 0:00,140.080002,141.050003,139.960007,140.970001,107.052467,82147400,FALSE,3/20/07 0:00,3/20/07 0:00,3/20/07 0:00,3/20/07 0:00,3/20/07 0:00,140.970001,140.970001,140.970001,140.970001,140.970001,0.549%,0.549%,0.549%,0.549%,0.549%
3/20/07,SPY,82147400,5639546,-7040385,129279,195477,-1400838,-1.7053,0.911,SPY2007-03-20,SPY,3/20/07 0:00,140.080002,141.050003,139.960007,140.970001,107.052467,82147400,3/21/07 0:00,141.100006,143.649994,140.820007,143.289993,108.814316,152368700,FALSE,3/22/07 0:00,3/22/07 0:00,3/27/07 0:00,3/28/07 0:00,3/28/07 0:00,143.179993,143.179993,142.860001,141.820007,141.820007,1.568%,1.568%,1.341%,0.603%,0.603%
3/21/07,SPY,152368700,8744439,-11776508,162735,411844,-3032069,-1.99,0.7087,SPY2007-03-21,SPY,3/21/07 0:00,141.100006,143.649994,140.820007,143.289993,108.814316,152368700,3/22/07 0:00,143.479996,143.679993,142.789993,143.179993,108.730751,118942200,FALSE,3/22/07 0:00,3/22/07 0:00,3/28/07 0:00,3/28/07 0:00,3/28/07 0:00,143.179993,143.179993,141.820007,141.820007,141.820007,-0.077%,-0.077%,-1.026%,-1.026%,-1.026%
